"age" "job" "marital" "education" "default" "balance" "housing" "loan" "contact" "day" "month" "duration" "campaign" "pdays" "previous" "poutcome" "y"
"4" 47 "blue-collar" "married" "unknown" "no" 1506 "yes" "no" "unknown" 5 "may" 92 1 -1 0 "unknown" "no"
"18" 57 "blue-collar" "married" "primary" "no" 52 "yes" "no" "unknown" 5 "may" 38 1 -1 0 "unknown" "no"
"21" 28 "blue-collar" "married" "secondary" "no" 723 "yes" "yes" "unknown" 5 "may" 262 1 -1 0 "unknown" "no"
"23" 32 "blue-collar" "single" "primary" "no" 23 "yes" "yes" "unknown" 5 "may" 160 1 -1 0 "unknown" "no"
"34" 59 "blue-collar" "married" "secondary" "no" 0 "yes" "no" "unknown" 5 "may" 226 1 -1 0 "unknown" "no"
"37" 25 "blue-collar" "married" "secondary" "no" -7 "yes" "no" "unknown" 5 "may" 365 1 -1 0 "unknown" "no"
"43" 60 "blue-collar" "married" "unknown" "no" 104 "yes" "no" "unknown" 5 "may" 22 1 -1 0 "unknown" "no"
"51" 54 "blue-collar" "married" "secondary" "no" 1291 "yes" "no" "unknown" 5 "may" 266 1 -1 0 "unknown" "no"
"58" 47 "blue-collar" "married" "unknown" "no" 306 "yes" "no" "unknown" 5 "may" 13 1 -1 0 "unknown" "no"
"59" 40 "blue-collar" "single" "unknown" "no" 24 "yes" "no" "unknown" 5 "may" 185 1 -1 0 "unknown" "no"
"63" 57 "blue-collar" "married" "primary" "no" 249 "yes" "no" "unknown" 5 "may" 164 1 -1 0 "unknown" "no"
"65" 49 "blue-collar" "married" "unknown" "no" 154 "yes" "no" "unknown" 5 "may" 357 1 -1 0 "unknown" "no"
"70" 35 "blue-collar" "single" "secondary" "no" 12223 "yes" "yes" "unknown" 5 "may" 177 1 -1 0 "unknown" "no"
"71" 57 "blue-collar" "married" "secondary" "no" 5935 "yes" "yes" "unknown" 5 "may" 258 1 -1 0 "unknown" "no"
"74" 55 "blue-collar" "married" "primary" "no" 23 "yes" "no" "unknown" 5 "may" 291 1 -1 0 "unknown" "no"
