"campaign" "pdays" "previous" "poutcome"
"1" 1 -1 0 "unknown"
"2" 1 -1 0 "unknown"
"3" 1 -1 0 "unknown"
"4" 1 -1 0 "unknown"
"5" 1 -1 0 "unknown"
"6" 1 -1 0 "unknown"
"7" 1 -1 0 "unknown"
"8" 1 -1 0 "unknown"
"9" 1 -1 0 "unknown"
"10" 1 -1 0 "unknown"
"11" 1 -1 0 "unknown"
"12" 1 -1 0 "unknown"
"13" 1 -1 0 "unknown"
"14" 1 -1 0 "unknown"
"15" 1 -1 0 "unknown"
"16" 1 -1 0 "unknown"
"17" 1 -1 0 "unknown"
"18" 1 -1 0 "unknown"
"19" 1 -1 0 "unknown"
"20" 1 -1 0 "unknown"
"21" 1 -1 0 "unknown"
"22" 1 -1 0 "unknown"
"23" 1 -1 0 "unknown"
"24" 1 -1 0 "unknown"
"25" 1 -1 0 "unknown"
"26" 1 -1 0 "unknown"
"27" 1 -1 0 "unknown"
"28" 1 -1 0 "unknown"
"29" 2 -1 0 "unknown"
"30" 1 -1 0 "unknown"
"31" 1 -1 0 "unknown"
"32" 1 -1 0 "unknown"
"33" 1 -1 0 "unknown"
"34" 1 -1 0 "unknown"
"35" 1 -1 0 "unknown"
"36" 1 -1 0 "unknown"
"37" 1 -1 0 "unknown"
"38" 1 -1 0 "unknown"
"39" 1 -1 0 "unknown"
"40" 1 -1 0 "unknown"
"41" 1 -1 0 "unknown"
"42" 2 -1 0 "unknown"
"43" 1 -1 0 "unknown"
"44" 1 -1 0 "unknown"
"45" 1 -1 0 "unknown"
"46" 1 -1 0 "unknown"
"47" 1 -1 0 "unknown"
"48" 2 -1 0 "unknown"
"49" 1 -1 0 "unknown"
"50" 1 -1 0 "unknown"
"51" 1 -1 0 "unknown"
"52" 1 -1 0 "unknown"
"53" 1 -1 0 "unknown"
"54" 1 -1 0 "unknown"
"55" 1 -1 0 "unknown"
"56" 1 -1 0 "unknown"
"57" 1 -1 0 "unknown"
"58" 1 -1 0 "unknown"
"59" 1 -1 0 "unknown"
"60" 1 -1 0 "unknown"
"61" 1 -1 0 "unknown"
"62" 1 -1 0 "unknown"
"63" 1 -1 0 "unknown"
"64" 1 -1 0 "unknown"
"65" 1 -1 0 "unknown"
"66" 1 -1 0 "unknown"
"67" 1 -1 0 "unknown"
"68" 1 -1 0 "unknown"
"69" 2 -1 0 "unknown"
"70" 1 -1 0 "unknown"
"71" 1 -1 0 "unknown"
"72" 1 -1 0 "unknown"
"73" 1 -1 0 "unknown"
"74" 1 -1 0 "unknown"
"75" 1 -1 0 "unknown"
"76" 1 -1 0 "unknown"
"77" 1 -1 0 "unknown"
"78" 1 -1 0 "unknown"
"79" 1 -1 0 "unknown"
"80" 1 -1 0 "unknown"
"81" 1 -1 0 "unknown"
"82" 1 -1 0 "unknown"
"83" 1 -1 0 "unknown"
"84" 1 -1 0 "unknown"
"85" 1 -1 0 "unknown"
"86" 2 -1 0 "unknown"
"87" 1 -1 0 "unknown"
"88" 1 -1 0 "unknown"
"89" 2 -1 0 "unknown"
"90" 2 -1 0 "unknown"
"91" 1 -1 0 "unknown"
"92" 2 -1 0 "unknown"
"93" 1 -1 0 "unknown"
"94" 1 -1 0 "unknown"
"95" 1 -1 0 "unknown"
"96" 1 -1 0 "unknown"
"97" 1 -1 0 "unknown"
"98" 1 -1 0 "unknown"
"99" 1 -1 0 "unknown"
"100" 1 -1 0 "unknown"
"101" 1 -1 0 "unknown"
"102" 1 -1 0 "unknown"
"103" 1 -1 0 "unknown"
"104" 3 -1 0 "unknown"
"105" 1 -1 0 "unknown"
"106" 1 -1 0 "unknown"
"107" 1 -1 0 "unknown"
"108" 1 -1 0 "unknown"
"109" 1 -1 0 "unknown"
"110" 2 -1 0 "unknown"
"111" 1 -1 0 "unknown"
"112" 1 -1 0 "unknown"
"113" 2 -1 0 "unknown"
"114" 1 -1 0 "unknown"
